Unnamed: 0,title,year,synopsis,critic_score,people_score,consensus,total_reviews,total_ratings,type,rating,genre,original_language,director,producer,writer,release_date_(theaters),release_date_(streaming),box_office_(gross_usa),runtime,production_co,sound_mix,aspect_ratio,view_the_collection,crew
35,apocalypse,1979,vietnam 1970 captain willard martin sheen take perilous increasingly hallucinatory journey upriver find terminate colonel kurtz marlon brando oncepromising officer reportedly gone completely mad company navy patrol boat filled streetsmart kid surfingobsessed air cavalry officer robert duvall crazed freelance photographer dennis hopper willard travel heart darkness,98,94.0,francis ford coppola haunting hallucinatory vietnam war epic cinema audacious visionary,96,250000,action adventure,r,drama war,english,francis ford coppola,kim aubry francis ford coppola,joseph conrad john milius francis ford coppola michael herr,unknown,nov 19 2015,788m,2h 33m,zoetrope studio,surround,unknown,unknown,marlon brando martin sheen robert duvall frederic forrest albert hall sam bottom larry fishburne dennis hopper gd spradlin harrison ford francis ford coppola joseph conrad john milius francis ford coppola michael herr kim aubry francis ford coppola carmine coppola francis ford coppola vittorio storaro
36,hurt locker,2008,staff sgt william james jeremy renner sgt jt sanborn anthony mackie specialist owen eldridge brian geraghty member bombdisposal unit baghdad tour duty enters final week men face set increasingly hazardous situation could end life explosive instant,97,84.0,wellacted intensely shot action filled war epic kathryn bigelows hurt locker thus far best recent dramatization iraq war,289,50000,action adventure,r war violencelanguage,action mystery thriller drama war,english,kathryn bigelow,kathryn bigelow mark boal nicolas chartier,mark boal,unknown,jul 22 2015,157m,2h 7m,kingsgate film voltage picture first light production,unknown,unknown,unknown,jeremy renner anthony mackie brian geraghty guy pearce ralph fiennes david morse evangeline lilly christian camargo christopher sayegh suhail aldabbach kathryn bigelow mark boal kathryn bigelow mark boal nicolas chartier marco beltrami buck sander barry ackroyd chris innis
37,lego movie,2014,emmet chris pratt ordinary lego figurine always follows rule mistakenly identified special extraordinary key saving world find drafted fellowship stranger mission stop evil tyrant ferrell plan conquer world unfortunately emmet hopelessly hilariously unprepared task hell give nonetheless,96,87.0,boasting beautiful animation charming voice cast laughaminute gag surprisingly thoughtful story lego movie colorful fun age,254,100000,action adventure,pg rude humormild action,kid family comedy adventure animation,english,phil lord christopher miller,dan lin roy lee,phil lord christopher miller,feb 7 2014 wide,oct 31 2015,2578m,1h 35m,lego system lin picture vertigo,unknown,unknown,unknown,chris pratt ferrell morgan freeman elizabeth bank arnett nick offerman alison brie charlie day liam neeson keith ferguson phil lord christopher miller phil lord christopher miller dan lin roy lee jill wilfert matthew ashton kathleen fleming allison abbate
38,star trek,2009,aboard us enterprise mostsophisticated starship ever built novice crew embarks maiden voyage path take collision course nero eric bana romulan commander whose mission vengeance threatens mankind humanity would survive rebellious young officer named james kirk chris pine coolly logical vulcan named spock zachary quinto must move beyond rivalry find way defeat nero late,94,91.0,star trek reignites classic franchise action humor strong story brilliant visuals please traditional trekkies new fan alike,354,250000,action adventure,pg13 scifi actionbrief sexual contentviolence,adventure action sci fi fantasy,english,jj abrams,jj abrams damon lindelof,roberto orci alex kurtzman,may 7 2009 wide,aug 1 2013,2577m,2h 6m,bad robot,unknown,unknown,star trek,chris pine zachary quinto leonard nimoy eric bana bruce greenwood karl urban zoe saldana simon pegg john cho anton yelchin jj abrams roberto orci alex kurtzman jj abrams damon lindelof bryan burk jeffrey chernov roberto orci alex kurtzman michael giacchino
39,moana,2016,adventurous teenager sail daring mission save people journey moana meet oncemighty demigod maui guide quest become master wayfinder together sail across open ocean actionpacked voyage encountering enormous monster impossible odds along way moana fulfills ancient quest ancestor discovers one thing always sought identity,95,89.0,title character threedimensional lush animation story add fresh depth disney timetested formula moana truly familyfriendly adventure age,282,50000,action adventure,pg perilbrief thematic elementssome scary image,musical comedy animation kid family adventure,english,john musker ron clements,osnat shurer,jared bush,nov 23 2016 wide,feb 21 2017,2488m,1h 53m,walt disney animation studio,dolby atmos dolby digital sdds datasat,scope 2351,unknown,dwayne johnson aulii cravalho rachel house temuera morrison jemaine clement nicole scherzinger alan tudyk oscar kightley john musker ron clements hall jared bush osnat shurer john lasseter
40,avenger infinity war,2018,iron man thor hulk rest avenger unite battle powerful enemy yet evil thanos mission collect six infinity stone thanos plan use artifact inflict twisted reality fate planet existence never uncertain everything avenger fought led moment,85,91.0,avenger infinity war ably juggle dizzying array mcu hero fight gravest threat yet result thrilling emotionally resonant blockbuster mostly realizes gargantuan ambition,478,50000,action adventure,pg13 intense scifi violenceaction throughoutlanguagesome crude reference,adventure fantasy action sci fi,english,anthony russo joe russo,kevin feige,christopher markus stephen mcfeely,apr 27 2018 wide,jul 31 2018,6788m,2h 29m,marvel studio,dts dolby digital dolby atmos,scope 2351,marvel cinematic universe,robert downey jr chris hemsworth josh brolin chadwick boseman mark ruffalo zoe saldana chris evans chris pratt benedict cumberbatch dave bautista anthony russo joe russo christopher markus stephen mcfeely kevin feige louis desposito victoria alonso michael grillo trinh tran jon favreau
41,antman wasp,2018,scott lang grappling consequence choice superhero father approached hope van dyne dr hank pym lang must antman suit fight alongside wasp urgent mission soon lead secret revelation past dynamic duo find epic battle powerful new enemy,87,75.0,lighter brighter superhero movie powered effortless charisma paul rudd evangeline lilly antman wasp offer muchneeded mcu palate cleanser,433,25000,action adventure,pg13 scifi action violence,comedy adventure action fantasy,english,peyton reed,kevin feige stephen broussard,chris mckenna erik sommers paul rudd andrew barrer gabriel ferrari,jul 6 2018 wide,oct 2 2018,2166m,1h 58m,marvel studio,dts dolby atmos,scope 2351,marvel cinematic universe,paul rudd evangeline lilly michael douglas michael peña walton goggins bobby cannavale laurence fishburne michelle pfeiffer judy greer tip ti harris peyton reed chris mckenna erik sommers paul rudd andrew barrer kevin feige stephen broussard victoria alonso louis desposito
42,star war,1977,imperial force order cruel darth vader david prowse hold princess leia carrie fisher hostage effort quell rebellion galactic empire luke skywalker mark hamill han solo harrison ford captain millennium falcon work together companionable droid duo r2d2 kenny baker c3po anthony daniel rescue beautiful princess help rebel alliance restore freedom justice galaxy,92,96.0,legendarily expansive ambitious start scifi saga george lucas opened eye possibility blockbuster filmmaking thing never,132,250000,action adventure,pg,action sci fi adventure fantasy,english,george lucas,gary kurtz,george lucas,may 25 1977 wide,oct 10 2016,345,2h 1m,lucasfilm ltd,surround,unknown,star war saga,mark hamill harrison ford carrie fisher alec guinness peter cushing anthony daniel kenny baker peter mayhew david prowse james earl jones george lucas george lucas gary kurtz george lucas gilbert taylor richard chew paul hirsch marcia lucas dianne crittenden
43,isle dog,2018,executive decree canine pet megasaki city exiled vast garbagedump called trash island 12yearold atari set alone miniature juniorturbo prop fly across river search bodyguarddog spot assistance pack newlyfound mongrel friend begin epic journey decide fate future entire prefecture,90,87.0,beautifully stopmotion animated isle dog find wes anderson detailoriented best telling one director winsomely charming story,363,5000,action adventure,pg13 thematic elementssome violent image,comedy animation adventure,english,wes anderson,wes anderson scott rudin steven rale jeremy dawson,wes anderson,apr 6 2018 wide,jun 27 2018,319m,1h 41m,american empirical picture studio babelsberg,dolby digital,scope 2351,unknown,bryan cranston edward norton scarlett johansson bill murray liev schreiber jeff goldblum bob balaban koyu rankin greta gerwig tilda swinton wes anderson wes anderson wes anderson scott rudin steven rale jeremy dawson christopher fisser henning molfenter charlie woebcken tristan oliver
44,stagecoach,1939,john ford landmark western revolves around assorted group colorful passenger aboard overland stagecoach bound lordsburg new mexico 1880s alcoholic philosophizer thomas mitchell lady ill repute claire trevor timid liquor salesman donald meek among motley crew traveler must contend escaped outlaw ringo kid john wayne everpresent threat apache attack make way across wild west,100,86.0,typifying best western genre offer stagecoach riproaring adventure given dramatic heft john ford dynamic direction john wayne mesmerizing star turn,45,10000,action adventure,unknown,western,english,john ford,john ford,ernest haycox dudley nichols ben hecht,mar 2 1939 wide,aug 10 2016,unknown,1h 36m,walter wanger production inc,unknown,flat 1371,unknown,john wayne claire trevor andy devine john carradine louise platt george bancroft donald meek berton churchill tim holt ernest haycox dudley nichols ben hecht walter wanger bert glennon otho lovering dorothy spencer
